"Fuel Efficiency","كفاءة الوقود"
"Theft likely","سرقة محتملة"
"Suspicious","مشتبه به"
"Heavy truck","شاحنة ثقيلة"
"Medium truck","شاحنة متوسطة"
"Light vehicle","مركبة خفيفة"
"GPS km","كيلومترات GPS"
"IM km","كيلومترات IM"
"the typed odometer","العداد المُدخل عند المحطة"
"fuel-card export","تقرير بطاقة الوقود"
"IM Fill-Drain report","تقرير التعبئة والتفريغ من IM"
"IM Fuel Consumption report","تقرير استهلاك الوقود من IM"
"Odometer went backwards","رجع عداد المسافة إلى الخلف"
"Refilled {0} h after the last fill","أُعيدت التعبئة بعد {0} ساعة من التعبئة السابقة"
"{0} L in one fill is more than the tanks hold ({1}: up to {2} L)","{0} لتر في تعبئة واحدة أكثر مما تتسعه الخزانات ({1}: حتى {2} لتر)"
"{0} L is {1}x this truck's usual fill","{0} لتر أي {1} ضعف التعبئة المعتادة لهذه الشاحنة"
"Refuelled after only {0} km","أُعيدت التعبئة بعد {0} كم فقط"
"{0} fill(s) bigger than the tanks ({1}: up to {2} L)","{0} تعبئة أكبر من سعة الخزانات ({1}: حتى {2} لتر)"
"{0} is not an .xlsx file. Save it as Excel Workbook (.xlsx) and upload it again.","الملف {0} ليس بصيغة ‎.xlsx. احفظه كمصنف Excel ‏(.xlsx) ثم ارفعه مرة أخرى."
"{0} is not a fuel-card export, an IM Fill-Drain report or an IM Fuel Consumption report.","الملف {0} ليس تقرير بطاقة وقود ولا تقرير تعبئة وتفريغ ولا تقرير استهلاك وقود من IM."
"{0} and {1} are both an {2}. Upload one of each kind.","الملفان {0} و{1} كلاهما {2}. ارفع ملفاً واحداً من كل نوع."
"Include the fuel-card export: the IM reports are checked against it.","أرفق تقرير بطاقة الوقود: تقارير IM تُقارن به."
"The theft limit must be above the normal limit.","يجب أن يكون حد السرقة أعلى من الحد الطبيعي."
"This link is not valid or was stopped.","هذا الرابط غير صالح أو أُوقف."
"No usable fills in {0}.","لا توجد تعبئات صالحة في {0}."
"Reading the files…","جارٍ قراءة الملفات…"
"Matching plates to the IM fleet…","جارٍ مطابقة اللوحات مع أسطول IM…"
"Reading GPS {0} of {1}: {2}","جارٍ قراءة GPS ‏{0} من {1}: {2}"
"Saving…","جارٍ الحفظ…"
"Done: {0} trucks flagged","اكتمل التحليل: {0} شاحنة تحتاج مراجعة"
"Fuel Efficiency","كفاءة الوقود","Fuel Efficiency"
"OK","سليم","Fuel Efficiency"
"Strong signs the fuel did not go into the truck. Check these first.","مؤشرات قوية على أن الوقود لم يدخل خزان الشاحنة. ابدأ بمراجعتها.","Fuel Efficiency"
"Something unusual that is worth a look.","أمر غير معتاد يستحق المراجعة.","Fuel Efficiency"
"Nothing unusual found.","لم يُعثر على أي أمر غير معتاد.","Fuel Efficiency"
"GPS","GPS","Fuel Efficiency"
"IM report","تقرير IM","Fuel Efficiency"
"typed odometer","العداد المُدخل","Fuel Efficiency"
"High consumption","استهلاك مرتفع","Fuel Efficiency"
"Paid but not in the tank","مدفوع ولم يصل إلى الخزان","Fuel Efficiency"
"Fuel drained","تفريغ وقود","Fuel Efficiency"
"Odometer mismatch","عدم تطابق العداد","Fuel Efficiency"
"Refuelled without driving","تعبئة دون قيادة","Fuel Efficiency"
"Refilled too soon","إعادة تعبئة مبكرة","Fuel Efficiency"
"Large fills","تعبئات كبيرة","Fuel Efficiency"
"GPS problem","مشكلة في GPS","Fuel Efficiency"
"Tank sensor unreliable","حساس الخزان غير موثوق","Fuel Efficiency"
"Bought more than it could burn and hold","اشترت أكثر مما تحرقه وتتسعه","Fuel Efficiency"
"Report used","التقرير المستخدم","Fuel Efficiency"
"Best source","أدق مصدر","Fuel Efficiency"
"Worked out from {0} for every truck. {1} trucks have no {0} and show a dash.","محسوب من {0} لكل الشاحنات. {1} شاحنة ليس لها {0} وتظهر بشرطة.","Fuel Efficiency"
"Re-analyse this report once to see it worked out from each source.","تلزم إعادة تحليل هذا التقرير مرة واحدة لرؤيته محسوباً من كل مصدر.","Fuel Efficiency"
"{0} L idling allowance","بدل تشغيل دون حركة {0} لتر","Fuel Efficiency"
"Copy report link","نسخ رابط التقرير","Fuel Efficiency"
"Link copied. Anyone with it can open this report without an account, read-only. It never expires: it works until Stop sharing is pressed.","نُسخ الرابط. يستطيع أي شخص لديه فتح هذا التقرير دون حساب، للقراءة فقط. لا تنتهي صلاحيته، ويعمل حتى الضغط على «إيقاف المشاركة».","Fuel Efficiency"
"Stop sharing","إيقاف المشاركة","Fuel Efficiency"
"Stop this link? Whoever has it can no longer open the report.","إيقاف هذا الرابط؟ لن يتمكن من لديه الرابط من فتح التقرير بعد ذلك.","Fuel Efficiency"
"The link is stopped.","أُوقف الرابط.","Fuel Efficiency"
"Sort by this column","الترتيب حسب هذا العمود","Fuel Efficiency"
"Normal consumption up to (L/100 km)","الاستهلاك الطبيعي حتى (لتر/100 كم)","Fuel Efficiency"
"Theft likely above (L/100 km)","سرقة محتملة فوق (لتر/100 كم)","Fuel Efficiency"
"For heavy trucks. Above it a truck is Suspicious, and what it burned above it is counted as stolen fuel.","للشاحنات الثقيلة. ما فوقه يُعدّ مشتبهاً به، وما احترق فوقه يُحسب وقوداً مسروقاً.","Fuel Efficiency"
"Limits","الحدود","Fuel Efficiency"
"Limits: {0} / {1}","الحدود: {0} / {1}","Fuel Efficiency"
"Consumption limits","حدود الاستهلاك","Fuel Efficiency"
"Save and re-analyse","حفظ وإعادة التحليل","Fuel Efficiency"
"For heavy trucks. Medium trucks (30 / 42) and light vehicles (16 / 24) keep their own limits.","للشاحنات الثقيلة. تبقى للشاحنات المتوسطة (30 / 42) والمركبات الخفيفة (16 / 24) حدودها.","Fuel Efficiency"
"Beyond what it could burn and hold","أكثر مما تحرقه الشاحنة وتتسعه","Fuel Efficiency"
"Large fill","تعبئة كبيرة","Fuel Efficiency"
"Bigger than the tank","أكبر من سعة الخزان","Fuel Efficiency"
"Fuel report","تقرير الوقود","Fuel Efficiency"
"New report","تقرير جديد","Fuel Efficiency"
"Add IM reports","إضافة تقارير IM","Fuel Efficiency"
"Re-analyse","إعادة التحليل","Fuel Efficiency"
"Export","تصدير","Fuel Efficiency"
"How it works","كيف يعمل","Fuel Efficiency"
"No fuel report yet","لا يوجد تقرير وقود بعد","Fuel Efficiency"
"Export the fuel-card report from the fuel company (.xlsx).","صدّر تقرير بطاقة الوقود من شركة الوقود (‎.xlsx).","Fuel Efficiency"
"From IM, export the Fill-Drain and Fuel Consumption reports for the same dates.","صدّر من IM تقريري التعبئة والتفريغ واستهلاك الوقود لنفس الفترة.","Fuel Efficiency"
"Press New report and choose the files.","اضغط «تقرير جديد» واختر الملفات.","Fuel Efficiency"
"Fuel card","بطاقة الوقود","Fuel Efficiency"
"analysed {0}","حُلّل {0}","Fuel Efficiency"
"The analysis failed","فشل التحليل","Fuel Efficiency"
"not uploaded","غير مرفوع","Fuel Efficiency"
"IM reports","تقارير IM","Fuel Efficiency"
"Fill-Drain","التعبئة والتفريغ","Fuel Efficiency"
"Fuel Consumption","استهلاك الوقود","Fuel Efficiency"
"Add","إضافة","Fuel Efficiency"
"trucks","شاحنة","Fuel Efficiency"
"Stolen fuel","الوقود المسروق","Fuel Efficiency"
"Burned above the fuel limit · about {0} SAR","ما احترق فوق حد الاستهلاك · حوالي {0} ريال","Fuel Efficiency"
"liters","لتر","Fuel Efficiency"
"checked with GPS","فُحصت بـGPS","Fuel Efficiency"
"with fuel sensor","بحساس وقود","Fuel Efficiency"
"fills","تعبئة","Fuel Efficiency"
"liters bought","لتر مشترى","Fuel Efficiency"
"SAR spent","ريال مصروف","Fuel Efficiency"
"liters paid but not seen in the tank","لتر مدفوع لم يصل إلى الخزان","Fuel Efficiency"
"liters drained","لتر مُفرّغ","Fuel Efficiency"
"Trucks","الشاحنات","Fuel Efficiency"
"Clear filters","مسح عوامل التصفية","Fuel Efficiency"
"Filter from the column headings.","استخدم عناوين الأعمدة للتصفية.","Fuel Efficiency"
"All","الكل","Fuel Efficiency"
"Class","الفئة","Fuel Efficiency"
"Brand","الماركة","Fuel Efficiency"
"Branch","الفرع","Fuel Efficiency"
"Status","الحالة","Fuel Efficiency"
"Plate","اللوحة","Fuel Efficiency"
"Plate or driver","اللوحة أو السائق","Fuel Efficiency"
"Vehicle","المركبة","Fuel Efficiency"
"Fuel bought","الوقود المشترى","Fuel Efficiency"
"Distance","المسافة","Fuel Efficiency"
"Checked with GPS","فُحصت بـGPS","Fuel Efficiency"
"With fuel sensor","بحساس وقود","Fuel Efficiency"
"Fuel card only","بطاقة الوقود فقط","Fuel Efficiency"
"L/100 km","لتر/100 كم","Fuel Efficiency"
"Above normal","فوق الطبيعي","Fuel Efficiency"
"Above theft limit","فوق حد السرقة","Fuel Efficiency"
"Not judged","لم يُحكم عليه","Fuel Efficiency"
"Main reason","السبب الرئيسي","Fuel Efficiency"
"With stolen fuel","بها وقود مسروق","Fuel Efficiency"
"Time","الوقت","Fuel Efficiency"
"Station","المحطة","Fuel Efficiency"
"Station or area","المحطة أو المنطقة","Fuel Efficiency"
"Liters","اللترات","Fuel Efficiency"
"Driver","السائق","Fuel Efficiency"
"Driver name","اسم السائق","Fuel Efficiency"
"Notes","ملاحظات","Fuel Efficiency"
"Loading…","جارٍ التحميل…","Fuel Efficiency"
"No trucks match.","لا توجد شاحنات مطابقة.","Fuel Efficiency"
"No fills match.","لا توجد تعبئات مطابقة.","Fuel Efficiency"
"+{0} more","+{0} أخرى","Fuel Efficiency"
"{0} L","{0} لتر","Fuel Efficiency"
"{0} fills","{0} تعبئة","Fuel Efficiency"
"{0} km","{0} كم","Fuel Efficiency"
"limit {0}","الحد {0}","Fuel Efficiency"
"{0} SAR","{0} ريال","Fuel Efficiency"
"GPS km since last fill","كم منذ التعبئة السابقة (GPS)","Fuel Efficiency"
"Odometer km since last fill","كم منذ التعبئة السابقة (العداد)","Fuel Efficiency"
"Consumption by each report","الاستهلاك حسب كل تقرير","Fuel Efficiency"
"Worked out from","محسوب من","Fuel Efficiency"
"Dates","الفترة","Fuel Efficiency"
"Fuel counted","الوقود المحتسب","Fuel Efficiency"
"Idling allowance","بدل التشغيل دون حركة","Fuel Efficiency"
"IM, read live","IM، قراءة مباشرة","Fuel Efficiency"
"Used for the status","المعتمد في الحالة","Fuel Efficiency"
"For comparison","للمقارنة","Fuel Efficiency"
"odometer {0} → {1}","العداد {0} ← {1}","Fuel Efficiency"
"typed odometer in these dates: {0} km","العداد المُدخل في هذه الفترة: {0} كم","Fuel Efficiency"
"first fill to last","من أول تعبئة إلى آخر تعبئة","Fuel Efficiency"
"{0} fills after the first","{0} تعبئة بعد الأولى","Fuel Efficiency"
"tank sensor: {0} L burned","حساس الخزان: احتُرق {0} لتر","Fuel Efficiency"
"{0} idle h","{0} ساعة تشغيل دون حركة","Fuel Efficiency"
"tank sensor: {0}","حساس الخزان: {0}","Fuel Efficiency"
"The status uses the most exact one that holds up: GPS first, then IM's report, then the typed odometer.","تعتمد الحالة على أدق مصدر صالح: GPS أولاً، ثم تقرير IM، ثم العداد المُدخل.","Fuel Efficiency"
"Each row is worked out on its own: the liters bought after the first fill in its dates (they replace what was burned over that distance), less the fuel allowed for idling, per 100 km. The IM reports take their liters from the fuel card, and the idle hours come from IM.","كل سطر محسوب وحده: اللترات المشتراة بعد أول تعبئة في فترته (فهي تعوّض ما احتُرق خلال تلك المسافة)، مطروحاً منها الوقود المسموح به للتشغيل دون حركة، لكل 100 كم. تأخذ تقارير IM لتراتها من بطاقة الوقود، وساعات التشغيل دون حركة تأتي من IM.","Fuel Efficiency"
"{0} L in {1} fills · {2} SAR","{0} لتر في {1} تعبئة · {2} ريال","Fuel Efficiency"
"Drivers: {0}","السائقون: {0}","Fuel Efficiency"
"Consumption","الاستهلاك","Fuel Efficiency"
"{0} L/100 km over {1} km, by {2}","{0} لتر/100 كم على مسافة {1} كم، حسب {2}","Fuel Efficiency"
"Too short to judge (under {0} km)","مسافة قصيرة لا تكفي للحكم (أقل من {0} كم)","Fuel Efficiency"
"Normal up to {0} · theft likely above {1} ({2})","الطبيعي حتى {0} · سرقة محتملة فوق {1} ({2})","Fuel Efficiency"
"Similar trucks: {0} L/100 km","الشاحنات المماثلة: {0} لتر/100 كم","Fuel Efficiency"
"{0} L allowed for {1} idle hours","سُمح بـ{0} لتر مقابل {1} ساعة تشغيل دون حركة","Fuel Efficiency"
"Not enough distance to judge","المسافة غير كافية للحكم","Fuel Efficiency"
"Distance and odometer","المسافة والعداد","Fuel Efficiency"
"GPS track","مسار GPS","Fuel Efficiency"
"Typed odometer","العداد المُدخل","Fuel Efficiency"
"Odometer vs IM: {0}","العداد مقارنة بـIM: {0}","Fuel Efficiency"
"Tank fuel sensor","حساس وقود الخزان","Fuel Efficiency"
"Paid for {0} L · seen arriving {1} L ({2} fills)","المدفوع {0} لتر · الواصل إلى الخزان {1} لتر ({2} تعبئة)","Fuel Efficiency"
"{0} L missing","{0} لتر مفقودة","Fuel Efficiency"
"{0} L not seen by the sensor (sensor not used)","{0} لتر لم يرصدها الحساس (الحساس غير مستخدم)","Fuel Efficiency"
"Drained {0} L ({1} times) · slowly {2} L","تفريغ {0} لتر ({1} مرة) · سحب بطيء {2} لتر","Fuel Efficiency"
"Burned {0} L · level {1} → {2} L","الاستهلاك {0} لتر · المستوى {1} ← {2} لتر","Fuel Efficiency"
"No sensor data for this truck in the Fill-Drain report","لا توجد بيانات حساس لهذه الشاحنة في تقرير التعبئة والتفريغ","Fuel Efficiency"
"No IM Fill-Drain report uploaded","لم يُرفع تقرير التعبئة والتفريغ من IM","Fuel Efficiency"
"Checked with","طريقة الفحص","Fuel Efficiency"
"IMEI {0}","IMEI ‏{0}","Fuel Efficiency"
"Why this status","سبب هذه الحالة","Fuel Efficiency"
"Fills","التعبئات","Fuel Efficiency"
"The status comes from this truck's fuel against its distance over all its fills. Notes on single fills are for reference only.","تأتي الحالة من وقود هذه الشاحنة مقارنة بالمسافة التي قطعتها عبر جميع تعبئاتها. أما الملاحظات على التعبئات المفردة فهي للاطلاع فقط.","Fuel Efficiency"
"{0}–{1} of {2}","{0}–{1} من {2}","Fuel Efficiency"
"Previous","السابق","Fuel Efficiency"
"Next","التالي","Fuel Efficiency"
"New fuel report","تقرير وقود جديد","Fuel Efficiency"
"1. Fuel-card report","1. تقرير بطاقة الوقود","Fuel Efficiency"
"From the fuel company: one row per fill. Required.","من شركة الوقود: سطر لكل تعبئة. مطلوب.","Fuel Efficiency"
"2. IM Fill-Drain report","2. تقرير التعبئة والتفريغ من IM","Fuel Efficiency"
"Same dates as the fuel card. Shows the fuel the tank sensor saw arrive or leave.","لنفس فترة بطاقة الوقود. يوضح الوقود الذي رصد حساس الخزان دخوله أو خروجه.","Fuel Efficiency"
"3. IM Fuel Consumption report","3. تقرير استهلاك الوقود من IM","Fuel Efficiency"
"Same dates as the fuel card. Adds IM's distance and idle hours.","لنفس فترة بطاقة الوقود. يضيف المسافة وساعات التشغيل دون حركة من IM.","Fuel Efficiency"
"Excel files (.xlsx). The order does not matter: each file is recognised by what is in it.","ملفات Excel ‏(‎.xlsx). الترتيب لا يهم: يُتعرّف على كل ملف من محتواه.","Fuel Efficiency"
"Add and re-analyse","إضافة وإعادة التحليل","Fuel Efficiency"
"Analyse","تحليل","Fuel Efficiency"
"Choose at least one file.","اختر ملفاً واحداً على الأقل.","Fuel Efficiency"
"Queued: {0} fills. This takes a few minutes.","في قائمة الانتظار: {0} تعبئة. يستغرق ذلك بضع دقائق.","Fuel Efficiency"
"Check the IM reports' dates","تحقق من فترة تقارير IM","Fuel Efficiency"
"Read GPS again for every truck in this report and redo all the checks?","قراءة GPS من جديد لكل شاحنة في هذا التقرير وإعادة جميع الفحوصات؟","Fuel Efficiency"
"normal up to {0}, theft likely above {1}","الطبيعي حتى {0}، وسرقة محتملة فوق {1}","Fuel Efficiency"
"Every truck gets one status:","تحصل كل شاحنة على حالة واحدة:","Fuel Efficiency"
"What is checked","ما الذي يُفحص","Fuel Efficiency"
"How much does it burn? Liters per 100 km against the limit for its class:","كم تستهلك؟ اللترات لكل 100 كم مقارنة بحد فئتها:","Fuel Efficiency"
"Did the fuel reach the tank? The IM Fill-Drain report shows how much fuel the tank sensor saw arrive, and any fuel drained out.","هل وصل الوقود إلى الخزان؟ يوضح تقرير التعبئة والتفريغ من IM كمية الوقود التي رصد حساس الخزان وصولها، وأي وقود تم تفريغه.","Fuel Efficiency"
"Does the odometer match? The odometer typed at the pump against the distance IM measured.","هل يطابق العداد؟ العداد المُدخل عند المضخة مقارنة بالمسافة التي سجلها IM.","Fuel Efficiency"
"Shown as notes only, never changing the status: refuelling after almost no driving, twice within a few hours, fills larger than usual or than the tank, and the tracker being off.","تظهر كملاحظات فقط ولا تغيّر الحالة: التعبئة بعد قيادة شبه معدومة، أو مرتين خلال ساعات قليلة، أو بكميات أكبر من المعتاد أو من سعة الخزان، وتوقف جهاز التتبع.","Fuel Efficiency"
"Idle time (air-conditioning, fridge units) is allowed for before consumption is judged, using IM's idle hours.","يُحتسب وقت التشغيل دون حركة (التكييف ووحدات التبريد) قبل الحكم على الاستهلاك، باستخدام ساعات التوقف من IM.","Fuel Efficiency"
"Building the file…","جارٍ إنشاء الملف…","Fuel Efficiency"
"Nothing to export.","لا يوجد ما يُصدَّر.","Fuel Efficiency"
"Working…","جارٍ العمل…","Fuel Efficiency"
"Queued","في قائمة الانتظار","Fuel Efficiency"
"Running","قيد التحليل","Fuel Efficiency"
"Done","مكتمل","Fuel Efficiency"
"Failed","فشل","Fuel Efficiency"
"Cancelled","ملغى","Fuel Efficiency"
"Cancel analysis","إلغاء التحليل","Fuel Efficiency"
"Stop this analysis? The results of the last finished run stay as they are.","إيقاف هذا التحليل؟ ستبقى نتائج آخر تحليل مكتمل كما هي.","Fuel Efficiency"
"The last analysis was cancelled; these are the results of the one before.","أُلغي التحليل الأخير؛ هذه نتائج التحليل الذي قبله.","Fuel Efficiency"
"The analysis was cancelled.","أُلغي التحليل.","Fuel Efficiency"
"Fuel sensor","حساس الوقود","Fuel Efficiency"
"IM, no GPS","IM بدون GPS","Fuel Efficiency"
"Name on IM","الاسم في IM","Fuel Efficiency"
"Model","الطراز","Fuel Efficiency"
"Cost (SAR)","التكلفة (ريال)","Fuel Efficiency"
"Odometer km","كيلومترات العداد","Fuel Efficiency"
"Odometer vs IM (%)","العداد مقارنة بـIM (%)","Fuel Efficiency"
"Normal up to","الطبيعي حتى","Fuel Efficiency"
"Theft likely above","سرقة محتملة فوق","Fuel Efficiency"
"Paid for (L)","المدفوع (لتر)","Fuel Efficiency"
"Seen in tank (L)","الواصل للخزان (لتر)","Fuel Efficiency"
"Missing (L)","المفقود (لتر)","Fuel Efficiency"
"Drained (L)","المُفرّغ (لتر)","Fuel Efficiency"
"Stolen fuel (L)","الوقود المسروق (لتر)","Fuel Efficiency"
"Stolen fuel (SAR)","الوقود المسروق (ريال)","Fuel Efficiency"
"Reasons","الأسباب","Fuel Efficiency"
"Invoice","الفاتورة","Fuel Efficiency"
"Area","المنطقة","Fuel Efficiency"
"Price","السعر","Fuel Efficiency"
"Cost","التكلفة","Fuel Efficiency"
"Odometer","العداد","Fuel Efficiency"
"Hours since last fill","ساعات منذ التعبئة السابقة","Fuel Efficiency"
